"user_id","age","employment_type","monthly_income","credit_score","purchase_amount","product_category","bnpl_installments","repayment_delay_days","missed_payments","default_flag","app_usage_frequency","location","transaction_date","debt_to_income_ratio","risk_score","customer_segment"
"3270","52","Self-Employed","12167848","850","50000","Fashion","9","0","0","0","449","USA","5/18/2023","410919005562857","0","Low Risk"
"10250","56","Self-Employed","14576712","850","50000","Fashion","12","0","0","0","492","Canada","9/27/2024","343012882466224","0","Low Risk"
"6702","56","Self-Employed","10739282","850","50000","Sports","6","0","0","0","698","USA","1/4/2023","465580473629428","0","Low Risk"
"8421","48","Self-Employed","11557268","850","50000","Electronics","9","0","0","0","537","Australia","10/19/2024","43262819552164","0","Low Risk"
"7787","50","Self-Employed","10256821","850","50000","Beauty","6","0","0","0","973","Canada","9/9/2024","487480477625572","0","Low Risk"
"1928","38","Self-Employed","980877","850","50000","Home","6","0","0","0","465","India","9/18/2024","50974790926895","0","Low Risk"
"8059","46","Self-Employed","1110140","850","50000","Sports","9","0","0","0","944","USA","6/15/2023","450393644044895","0","Low Risk"
"2581","53","Self-Employed","13242505","850","50000","Fashion","3","0","0","0","753","UK","10/18/2024","377572068124573","0","Low Risk"
"7443","50","Self-Employed","12352686","850","50000","Home","9","0","0","0","953","USA","2/20/2023","404770266159117","0","Low Risk"
"8129","42","Self-Employed","10288025","848","50000","Beauty","3","0","0","0","136","Australia","3/29/2023","486001929427659","8","Low Risk"
"2972","49","Self-Employed","10343636","848","50000","Sports","6","0","0","0","951","UK","1/27/2023","483389013302478","8","Low Risk"
"9329","55","Self-Employed","10180283","846","50000","Sports","12","0","0","0","406","India","1/16/2023","491145481908508","16","Low Risk"
"2825","44","Self-Employed","11726139","850","50000","Beauty","12","1","0","0","124","USA","8/18/2024","42639781090775","20","Low Risk"
"4014","56","Self-Employed","12793787","850","50000","Fashion","9","1","0","0","759","UK","7/27/2024","390814697790419","20","Low Risk"
"9144","54","Self-Employed","10722544","850","50000","Beauty","6","1","0","0","449","Australia","5/9/2023","466307249473632","20","Low Risk"
"716","26","Self-Employed","10386899","848","50000","Beauty","6","1","0","0","402","UK","2/9/2023","481375625198627","28","Low Risk"
"9419","29","Self-Employed","10605514","847","50000","Home","6","1","0","0","896","Australia","11/17/2024","471452868762419","32","Low Risk"
"2302","57","Salaried","10573608","842","50000","Electronics","3","0","0","0","539","Germany","12/10/2024","47287548394077","32","Low Risk"
"8173","51","Self-Employed","11092828","850","50000","Electronics","6","2","0","0","149","India","6/29/2023","450741686430187","40","Low Risk"
"1132","55","Self-Employed","11298117","850","50000","Home","6","2","0","0","173","USA","3/15/2023","442551621655183","40","Low Risk"
"9232","33","Self-Employed","10993852","850","50000","Fashion","9","2","0","0","355","Canada","7/24/2024","454799646202259","40","Low Risk"
"4748","55","Salaried","10314668","847","50000","Fashion","9","2","0","0","649","Canada","10/6/2024","484746576428829","52","Low Risk"
"9934","47","Self-Employed","10561449","850","50000","Electronics","6","3","0","0","386","Germany","10/9/2024","473419887744569","60","Low Risk"
"8055","54","Self-Employed","10746179","835","50000","Beauty","9","0","0","0","62","UK","9/24/2024","465281659648513","60","Low Risk"
"1708","55","Self-Employed","10908769","850","50000","Sports","9","3","0","0","296","Canada","6/9/2023","458346858385212","60","Low Risk"
"9165","55","Self-Employed","12065011","850","50000","Home","6","3","0","0","637","USA","4/9/2023","414421503635595","60","Low Risk"
"2963","57","Salaried","10614796","830","50000","Sports","9","0","0","0","893","Germany","12/22/2024","471040611614203","80","Low Risk"
"8035","50","Self-Employed","12643997","850","50000","Sports","9","4","0","0","593","UK","2/20/2023","395444573420889","80","Low Risk"
"4042","50","Self-Employed","1117649","850","50000","Fashion","9","4","0","0","33","Canada","6/29/2023","44736764404567","80","Low Risk"
"3749","29","Self-Employed","10607137","840","50000","Beauty","12","2","0","0","947","UK","2/14/2023","471380731671515","80","Low Risk"
"7874","50","Self-Employed","10291352","830","50000","Beauty","6","0","0","0","355","UK","12/14/2024","485844814170188","80","Low Risk"
"5097","56","Self-Employed","10900584","829","50000","Electronics","3","0","0","0","933","Canada","4/29/2023","45869102059119","84","Low Risk"
"6573","31","Self-Employed","10467358","842","50000","Electronics","9","3","0","0","32","UK","10/14/2024","477675455449216","92","Low Risk"
"10186","47","Self-Employed","1139059","831","50000","Home","12","1","0","0","336","India","8/8/2024","438958824784317","96","Low Risk"
"558","53","Self-Employed","1024460","826","50000","Beauty","12","0","0","0","388","Germany","1/16/2023","488062003396911","96","Low Risk"
"115","37","Self-Employed","11258425","832","50000","Home","3","2","0","0","431","UK","3/6/2023","444111854011551","112","Low Risk"
"10089","56","Self-Employed","9531158","819","50000","Electronics","9","0","0","0","674","UK","12/2/2024","52459522756836","124","Low Risk"
"5099","51","Self-Employed","11026254","829","50000","Beauty","6","2","0","0","988","India","12/11/2024","453463161650366","124","Low Risk"
"7233","57","Salaried","9820801","828","1000","Beauty","6","2","0","0","339","UK","3/10/2023","10182468823062","128","Low Risk"
"31","55","Self-Employed","10464267","832","50000","Sports","9","3","0","0","328","Australia","8/1/2024","477816554183871","132","Low Risk"
"820","57","Self-Employed","9438607","822","50000","Beauty","3","1","0","0","952","USA","7/4/2024","52973918714912","132","Low Risk"
"1964","44","Self-Employed","9995728","841","50000","Beauty","12","5","0","0","349","Canada","9/1/2024","500213691288918","136","Low Risk"
"7331","42","Self-Employed","8997635","815","50000","Home","9","0","0","0","219","India","3/21/2023","555701581582271","140","Low Risk"
"8874","54","Self-Employed","10109916","824","50000","Fashion","6","2","0","0","416","Canada","3/28/2023","494563950877534","144","Low Risk"
"8149","41","Self-Employed","10619829","843","50000","Sports","12","6","0","0","374","India","9/14/2024","470817373801404","148","Low Risk"
"7853","50","Self-Employed","1125316","831","50000","Electronics","9","4","0","0","683","USA","4/11/2023","444319639994454","156","Low Risk"
"7463","55","Self-Employed","1030479","810","305696","Sports","3","0","0","0","50","UK","11/4/2024","296654274371433","160","Low Risk"
"6174","42","Student","10257174","834","50000","Electronics","12","5","0","0","175","Canada","2/12/2023","487463701015503","164","Low Risk"
"3490","46","Self-Employed","9137893","805","1000","Beauty","6","0","0","0","432","Canada","6/20/2023","1094344177591","180","Low Risk"
"1962","57","Self-Employed","10185129","805","50000","Beauty","9","0","0","0","43","Germany","3/21/2023","490911798957087","180","Low Risk"
"9161","51","Self-Employed","9927089","830","50000","Electronics","6","5","0","0","218","USA","10/4/2024","503672325290928","180","Low Risk"
"284","39","Self-Employed","8478026","804","50000","Electronics","12","0","0","0","151","India","2/20/2023","589759927605789","184","Low Risk"
"3841","54","Self-Employed","9706495","813","50000","Fashion","9","2","0","0","66","Australia","9/28/2024","515119000215834","188","Low Risk"
"9731","48","Self-Employed","9760132","808","50000","Home","9","1","0","0","52","Canada","1/17/2023","512288153479891","188","Low Risk"
"6031","54","Self-Employed","10278828","801","50000","Electronics","9","0","0","0","38","USA","10/5/2024","486436780535679","196","Low Risk"
